year,waste_cat_en,disposal_q
2009,Total solid waste,4864000
2010,Total solid waste,5043200
2011,Total solid waste,4912300
2012,Total solid waste,5067000
2013,Total solid waste,5223400
2014,Total solid waste,5423400
2015,Total solid waste,5512300
2016,Total solid waste,5611700
2017,Total solid waste,5663300
2018,Total solid waste,5874900
2019,Total solid waste,5707500
2020,Total solid waste,5394700
2021,Total solid waste,5669400
2022,Total solid waste,5739800
2023,Total solid waste,5760900
2024,Total solid waste,5723100